@mightex_spectrum_save,2,2,0
7/30/2018 4:04:49 PM
SSE-1304-UW
13-171106-004
100
0
3648
92900
 3.53656800000000E+0002
 6.40170500000000E-0003
 1.46668800000000E-0005
 2.11796800000000E-0010
 1.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000
 0.00000000000000E+0000

PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
31, 3.53869354036318E+0002, 6.05310000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.05310000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.29780000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
32, 3.53876680385278E+0002, 6.01020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.01020000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.27050000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.73970000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
33, 3.53884036108662E+0002, 6.11960000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.11960000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.32390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.79570000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
34, 3.53891421207741E+0002, 6.07540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.07540000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.31530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76010000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
35, 3.53898835683788E+0002, 6.07820000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.07820000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.32610000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75210000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
36, 3.53906279538071E+0002, 6.01280000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.01280000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.26600000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.74680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
37, 3.53913752771863E+0002, 6.00390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.00390000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.23890000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76500000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
38, 3.53921255386434E+0002, 6.03980000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.03980000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.28100000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.75880000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
39, 3.53928787383054E+0002, 6.03320000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.03320000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.25680000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77640000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
40, 3.53936348762995E+0002, 6.04230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.04230000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.26530000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.77700000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
41, 3.53943939527527E+0002, 6.07860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.07860000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.31620000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.76240000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
42, 3.53951559677921E+0002, 6.12790000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 6.12790000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.33640000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.79150000000000E+0003, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000
